name,price,original_price,image_url,description,category,brand,predicted_style
木耳邊坑條短版合身上衣 四色售 S/M,110,NT. 290,https://photo.queenshop.com.tw/01098796/01098796-01.jpg,木耳邊坑條短版合身上衣選用柔軟有彈性的坑條布料短版版型 拉長腿部線條比例更好木耳邊設計 增添甜美氣息下身搭配褲裝或裙裝都好看有型!,上衣,QueenShop,"['甜美', '休閒']"
基本素面圓領短袖棉T 十色售 S/M/L,250,NT. 190,https://photo.queenshop.com.tw/01038244/01038244-01.jpg,基本素面圓領短袖棉T春日衣櫥必備好單品分多色棉T莫屬基本百搭款式讓你不想包色都難打造不同穿搭風格小編都忍不住想包色啦,上衣,QueenShop,"['簡約', '休閒']"
花花印圖寬版短袖上衣 四色售,270,NT. 490,https://photo.queenshop.com.tw/01190171/01190171-03.jpg,花花印圖寬版短袖上衣選用舒適透氣純棉面料寬版版型 合適所有身型日系感十足的花花印圖搭配透膚單品 日系可愛!,上衣,QueenShop,"['日系', '休閒']"
飄逸層次蛋糕傘擺紗裙 三色售,470,NT. 790,https://photo.queenshop.com.tw/03021447/03021447-01.jpg,飄逸層次蛋糕傘擺紗裙選用輕盈舒適的透紗面料傘擺設計 修飾下身線條貼心內裡布料不怕走光蛋糕堆疊造型 增添整體層次感上身搭配襯衫 展現溫柔優雅穿搭!,下身,QueenShop,"['優雅', '甜美']"
素面圓領合身短版上衣 六色售 S/M/L,120,NT. 290,https://photo.queenshop.com.tw/01098776/01098776-01.jpg,素面圓領合身短版上衣 選用舒適有彈性的親膚面料圓領設計 修飾頸部線條六種經典百搭色 滿足不同風格需求搭配短褲 展現夏日休閒LOOK!,上衣,QueenShop,"['簡約', '休閒']"
立體緹花紋理粗肩背心 四色售,100,NT. 290,https://photo.queenshop.com.tw/01150443/01150443-01.jpg,立體緹花紋理粗肩背心選用柔軟親膚面料無袖設計 清爽又有型立體皺皺紋理 增添穿搭小亮點簡單搭配褲裝 打造休閒感夏日穿搭!,上衣,QueenShop,"['休閒', '簡約']"
雙肩帶造型附Bra背心 五色售 S/M,140,NT. 290,https://photo.queenshop.com.tw/01041911/01041911-01.jpg,雙肩帶造型附Bra背心 選用舒適輕透的親膚面料雙肩帶設計 細膩勾勒鎖骨線條內附輕薄Bra襯墊 舒適感再升級搭配長褲 都能展現率性又不失女人味的風格～,上衣,QueenShop,"['韓系', '休閒']"
側綁帶抽皺設計圓領短袖上衣 四色售,140,NT. 390,https://photo.queenshop.com.tw/01098863/01098863-01.jpg,側綁帶抽皺設計圓領短袖上衣選用柔軟親膚棉質面料側邊綁帶抽皺設計 增添穿搭造型感單穿也能時髦感十足簡單搭配褲裝 打造率性穿搭LOOK!,上衣,QueenShop,"['日系', '休閒']"
微抽皺木耳邊透膚高領上衣 四色售,100,NT. 390,https://photo.queenshop.com.tw/01098785/01098785-01.jpg,微抽皺木耳邊透膚高領上衣選用舒適柔軟的親膚面料彈性極佳穿脫自在方便木耳編造型 增添整體設計感輕鬆穿出時尚日系LOOK!,上衣,QueenShop,"['日系', '甜美']"
簡約素面圓領純棉短版短袖上衣 六色售 S/M,120,NT. 290,https://photo.queenshop.com.tw/01190170/01190170-01.jpg,簡約素面圓領純棉短版短袖上衣選用透氣柔軟純棉面料多色選擇 隨意變換穿搭風格短版剪裁 修飾身型比例無論單穿疊穿都時髦有型,上衣,QueenShop,"['簡約', '休閒']"
後鏤空交叉肩帶附Bra背心 三色售,110,NT. 290,https://photo.queenshop.com.tw/01041919/01041919-01.jpg,後鏤空交叉肩帶附Bra背心 選用舒適輕透的親膚面料後交叉肩帶設計 細膩勾勒鎖骨線條內附輕薄Bra襯墊 舒適感再升級搭配長褲 都能展現率性又不失女人味的風格～,上衣,QueenShop,"['韓系', '性感']"
鏤空愛心木耳邊船型領上衣 三色售,100,NT. 290,https://photo.queenshop.com.tw/01098812/01098812-01.jpg,鏤空愛心木耳邊船型領上衣選用柔軟棉質面料鏤空愛心造型 增添穿搭小亮點木耳邊設計 日系感滿滿春季疊穿的必備百搭單品!,上衣,QueenShop,"['日系', '甜美']"
細褶紋理微透膚長袖襯衫 四色售,120,NT. 590,https://photo.queenshop.com.tw/01025545/01025545-02.jpg,細褶紋理微透膚長袖襯衫選用輕薄柔軟雪紡面料微透膚造型 增添穿搭小亮點寬版剪裁 可單穿也可當防曬外套多色設計 打造多種風格穿搭,上衣,QueenShop,"['韓系', '日系']"
涼感鬆緊腰頭綁帶長褲 五色售 S/M,260,NT. 690,https://photo.queenshop.com.tw/04101955/04101955-01.jpg,涼感鬆緊腰頭綁帶長褲選用獨特涼感面料腰頭鬆緊綁帶設計 包容多種身型多色可選 輕鬆變換多種穿搭簡單搭配上衣 打造休閒清爽穿搭,下身,QueenShop,"['休閒', '簡約']"
花花多層荷葉網紗罩衫背心 三色售,50,NT. 490,https://photo.queenshop.com.tw/01098960/01098960-01.jpg,花花多層荷葉網紗罩衫背心選用輕盈透氣的網紗布料花花提花設計 有質感又甜美可愛多層荷葉造型 為穿搭增添層次度內搭T恤或襯衫 展現春日亮眼穿搭!,上衣,QueenShop,"['甜美', '日系']"
基本素面圓領削肩背心 五色售,100,NT. 290,https://photo.queenshop.com.tw/01150430/01150430-01.jpg,基本素面圓領削肩背心選用柔軟棉質面料經典削肩設計 基本百搭多色設計 隨意變換風格穿搭簡單搭配就能時髦出行!,上衣,QueenShop,"['簡約', '休閒']"
緹花鏤空木耳邊造型透膚上衣 四色售,50,NT. 390,https://photo.queenshop.com.tw/01098458/01098458-01.jpg,緹花鏤空木耳邊造型透膚上衣選用舒適柔軟的親膚面料鏤空設計 細節滿滿木耳邊造型 增添整體設計感外搭洋裝 展現日系LOOK!,上衣,QueenShop,"['日系', '甜美']"
微高領設計素面短袖上衣 三色售,100,NT. 290,https://photo.queenshop.com.tw/01098970/01098970-01.jpg,微高領設計素面短袖上衣選用柔軟親膚純棉面料微高領剪裁 修飾臉部線條素面設計 層次疊穿也清爽時髦簡單搭配洋裝就好看有型!,上衣,QueenShop,"['日系', '簡約']"
花花立體刺繡印圖寬版上衣 三色售,330,NT. 490,https://photo.queenshop.com.tw/01190230/01190230-01.jpg,花花立體刺繡印圖寬版上衣選用100%的純棉面料幸運花花刺繡印圖 細節精緻滿滿寬鬆版型剪裁 不挑身型搭配牛仔褲 展現俏皮日常LOOK!,上衣,QueenShop,"['日系', '休閒']"
光澤抓皺造型短版罩衫背心 三色售,120,NT. 490,https://photo.queenshop.com.tw/01098868/01098868-01.jpg,光澤抓皺造型短版罩衫背心選用舒適柔軟的親膚面料抓皺設計 細節滿滿綁帶式調節肩帶 可依照個人喜好調整內搭素色高領上衣 展現初春日系LOOK!,上衣,QueenShop,"['日系', '甜美']"
微透膚格紋抓皺細肩背心罩衫 三色售,120,NT. 390,https://photo.queenshop.com.tw/01098925/01098925-03.jpg,微透膚格紋抓皺細肩背心罩衫選用舒適輕透的親膚面料細緻格紋設計 增添層次感抓皺細節滿滿 內搭長洋裝 展現自然浪漫氛圍,上衣,QueenShop,"['日系', '甜美']"
低腰復古附綁繩牛仔七分褲 S/M/L,520,NT. 790,https://photo.queenshop.com.tw/04011801/04011801-99.jpg,低腰復古附綁繩牛仔七分褲選用牛仔面料 經典好搭有挺度低腰七分版型 率性復古氣息滿滿附綁繩設計 可自由變化造型上身搭配短版上衣 展現青春甜辣風格~,下身,QueenShop,"['復古', '甜美']"
圓領條紋設計短版上衣 三色售,130,NT. 290,https://photo.queenshop.com.tw/01190245/01190245-08.jpg,圓領條紋設計短版上衣 選用100%的純棉面料簡約條紋設計 營造出輕鬆休閒風格圓領剪裁簡單大方 讓整體造型更具活力搭配牛仔褲 輕鬆展現休閒感穿搭,上衣,QueenShop,"['休閒', '簡約']"
立體紋理木耳邊設計短袖上衣 四色售,110,NT. 390,https://photo.queenshop.com.tw/01098835/01098835-01.jpg,立體紋理木耳邊設計短袖上衣選用親膚柔軟面料立體紋理設計 單穿不單調不對稱木耳邊 增添整體造型短版剪裁 修飾身型比例!,上衣,QueenShop,"['休閒', '甜美']"
休閒細坑條造型合身背心 五色售,120,NT. 290,https://photo.queenshop.com.tw/01150429/01150429-01.jpg,休閒細坑條造型合身背心選用舒適柔軟的親膚面料細坑條紋理 增添層次感合身剪裁 修飾身形展現自然曲線搭配高腰牛仔褲 輕鬆展現自然好比例,上衣,QueenShop,"['休閒', '簡約']"
高腰素色設計直筒褲 四色售 S/S+/M/M+/L+,630,NT. 690,https://photo.queenshop.com.tw/04101694/04101694-01.jpg,高腰素色設計直筒褲舒適純棉面料具份量感直筒高腰版型顯襯下身纖細特選+尺寸系列 版型不變褲長加長+尺寸落地長度率性修長各式腿長全都照顧得到的百搭單品！,下身,QueenShop,"['簡約', '休閒']"
